,Assists_Cross,Assists_Corner,Assists_Throughball,Assists_Freekick,Assists_Throwin,Assists_Other,Assists_Total,PassesLength_Total,PassesLength_AccLB,PassesLength_InAccLB,PassesLength_AccSP,PassesLength_InAccSP,PassesType_AccCr,PassesType_InAccCr,PassesType_AccCrn,PassesType_InAccCrn,PassesType_AccFrK,PassesType_InAccFrK,KeyPassesLength_Total,KeyPassesLength_Long,KeyPassesLength_Short,KeyPassesType_Cross,KeyPassesType_Corner,KeyPassesType_Throughball,KeyPassesType_Freekick,KeyPassesType_Throwin,KeyPassesType_Other,Pts,Rating
PSG19,0.3,0.1,0.3,0,0,1.3,1.9,621.3,23.1,13.1,529.2,55.9,3.4,12,3.2,3.1,10.5,0.9,11.1,1.7,9.4,2.1,1,1.1,0.1,0.1,7.9,91,7.05
Lyon19,0.3,0,0.2,0,0,0.9,1.4,548.6,26.1,19.6,445.2,57.6,5.2,12.8,2.8,3.1,10.2,1.2,13,2.2,10.8,3,1.1,0.6,0.4,0,9.2,72,6.91
Lille19,0.2,0.1,0.2,0.1,0,0.8,1.3,438.1,23.9,29.8,331.3,53.2,3.9,11.3,1.7,2.6,10.8,2.8,10.1,1.7,8.4,2.5,1,0.7,0.5,0,6.7,72,6.84
Montpellier19,0.2,0.1,0.1,0,0,0.4,0.7,416.7,36.2,31.6,291.1,57.8,5.1,14.6,1.8,2.7,9.7,2.6,9.7,1.7,8,2.9,0.8,0.3,0.5,0.2,6.1,59,6.81
Saint-Etienne19,0.5,0.1,0.1,0.1,0,0.5,1.1,453.9,31.8,32.8,336.1,53.2,4.4,15.9,2.6,3.3,8.7,3.5,9.7,1.8,7.9,2.5,1.1,0.3,0.4,0.1,6.6,66,6.78
Marseille19,0.3,0.1,0.1,0,0,0.8,1.2,473.7,26.6,27.2,363.6,56.3,5.7,16.1,2.5,3.4,9.2,2.7,10.7,1.8,8.9,3.6,1.4,0.4,0.6,0,6.3,61,6.78
Nice19,0.1,0,0,0.1,0,0.3,0.5,521.6,27.6,24.1,420.9,49.1,3.3,9.7,2.1,2.5,12.9,1.6,8.7,1.7,7,1.9,1,0.3,0.5,0,6.2,56,6.76
Nimes19,0.4,0.2,0.1,0.1,0,0.4,1,358.7,27.5,35.8,239.3,56.1,4.5,14.8,2,3.3,7.9,4.8,9.7,1.9,7.7,2.7,1.3,0.3,0.5,0.1,6.3,53,6.75
Rennes19,0.2,0.1,0,0,0,0.7,0.9,424.2,27,27.2,317.4,52.7,3.8,13.7,2.1,2.9,9.3,1.7,8.5,1.8,6.8,2,0.6,0.2,0.3,0,6.2,52,6.73
Strasbourg19,0.4,0.1,0.2,0,0,0.5,1.1,444.6,37.3,29.3,320.4,57.6,4.4,14.5,1.8,2.3,9.2,1.8,8.2,1.7,6.4,2.6,0.9,0.3,0.4,0.1,5,49,6.73
Reims19,0.2,0,0.1,0,0,0.4,0.7,368,27.3,32.1,252.2,56.4,3.9,12.8,1.6,2.7,8.3,3.7,7.9,1.3,6.6,1.7,0.6,0.4,0.3,0.1,5.6,55,6.72
Nantes19,0.2,0.1,0.1,0,0,0.5,0.7,417.7,26.8,31.8,293.8,65.4,5,14.1,2.2,2.6,9,3.1,10,1.8,8.2,2.5,0.9,0.2,0.8,0,6.9,48,6.71
Angers19,0.3,0.1,0.1,0,0,0.3,0.7,396.7,24.5,29.5,289.8,52.9,3.7,12.9,1.6,2.8,8.1,3.6,8.7,1.6,7.1,2.3,0.9,0.3,0.6,0.1,5.8,46,6.70
Bordeaux19,0.2,0,0.1,0,0,0.4,0.7,444.6,27.8,30.1,329,57.7,3.6,13.7,1.6,2.8,10.3,2.7,8.7,1.4,7.3,2.1,0.7,0.3,0.3,0,6.1,41,6.67
Toulouse19,0.2,0,0.1,0,0,0.2,0.4,402.5,26.7,31.6,286.6,57.6,3.7,12.9,1.7,2.5,9.2,3.5,8.2,1.6,6.6,2.5,0.9,0.3,0.4,0,5.1,38,6.62
Monaco19,0.2,0.1,0,0,0,0.5,0.7,424.7,23.6,26.3,318.1,56.7,4.7,14.9,2.3,2.8,10.3,3.2,8.5,1.6,6.8,2.7,1.1,0.2,0.3,0.1,5.4,36,6.61
Dijon19,0.1,0.1,0.1,0,0,0.4,0.5,403.5,31.6,33.6,284.1,54.2,4.1,11.8,2.3,2.1,8.3,3.2,8.7,1.6,7.1,2.3,1,0.2,0.3,0.1,5.8,34,6.59
Caen19,0.2,0,0,0.1,0,0.2,0.4,361.7,34.2,34.8,242.2,50.5,3.5,13.5,1.3,2,8.7,4.2,5.8,1.4,4.4,1.9,0.5,0.1,0.4,0.1,3.6,33,6.59
Amiens19,0.2,0,0.1,0.1,0,0.3,0.6,382.7,25.7,34.6,264.6,57.7,3.3,12,1.4,2.2,9.1,4.3,7.5,1.1,6.4,1.6,0.6,0.3,0.6,0.1,5.3,38,6.57
Guingamp19,0.3,0.1,0.1,0.1,0,0.2,0.6,363.9,27.7,32.2,246,58,4.8,16.5,1.9,3.2,7.9,3.5,8,1.6,6.4,2.4,0.8,0.1,0.6,0.1,5.2,27,6.55
PSG18,0.4,0.1,0.5,0,0,1.1,2,651.1,28.9,12.3,554.4,55.4,4.1,13.8,4,2.7,12.9,0.9,12.2,1.4,10.8,2.3,0.7,1.5,0.3,0,8.2,93,7.16
Lyon18,0.4,0.1,0.1,0,0,1.1,1.6,508.4,25,20.8,407.3,55.3,4.2,10.9,2.1,2.7,11.1,2.1,11.1,1.8,9.3,2.4,1.1,0.6,0.2,0,7.9,78,7.04
Marseille18,0.5,0,0.2,0.1,0,0.7,1.4,495,27.2,25.1,389.7,52.9,5.7,17.1,2.6,3.8,9.3,2.5,12.1,1.7,10.4,3.6,1,0.8,0.6,0.1,7.4,77,6.99
Monaco18,0.3,0.1,0.2,0.1,0,1,1.5,435.2,28.6,28.3,324.6,53.7,4.1,16,2.4,2.8,11,2.8,9.6,1.4,8.2,2.2,0.9,0.4,0.6,0,6.6,80,6.94
Montpellier18,0.1,0,0,0,0,0.6,0.7,411.2,33.8,29.7,292.7,54.9,5.3,17.1,2.3,2.6,10.4,3.3,9.9,1.7,8.2,2.7,1.1,0.2,0.5,0.1,6.6,51,6.78
Nice18,0.2,0.1,0.1,0,0,0.6,0.9,579.5,33.8,21.5,473.5,50.7,3.7,11.4,2.3,3,12.4,1.8,9.4,1.8,7.6,2,1.1,0.4,0.3,0,6.8,54,6.77
Bordeaux18,0.2,0.1,0.1,0,0,0.6,0.9,440.7,28.9,29.1,327.4,55.2,4.2,15.2,1.8,2.9,9.5,3.1,9.3,1.5,7.8,2.4,0.7,0.3,0.3,0.1,6.4,55,6.77
Rennes18,0.3,0,0.1,0.1,0,0.5,0.8,423.8,29.1,33.3,307.6,53.9,4.5,15.7,2.5,3.2,9.8,3.6,8.8,1.8,7.1,2.7,1.2,0.2,0.7,0,5.6,58,6.75
Saint-Etienne18,0.1,0,0.1,0,0,0.6,0.8,453.7,30.8,30.3,336.1,56.6,3.6,13.7,2.4,2.4,9.7,2.7,8.4,1.6,6.8,2,0.8,0.5,0.4,0,5.7,55,6.74
Nantes18,0.2,0.1,0,0,0,0.4,0.6,375.8,26.6,35.1,255.5,58.6,5.6,15.2,2,2.6,6,3.6,9.3,1.7,7.6,3,1,0.2,0.4,0.1,5.8,52,6.72
Guingamp18,0.3,0.1,0.1,0,0,0.3,0.7,423.4,32,30.5,305.1,55.9,4.1,15,2.1,2.9,10.4,3.4,8.3,1.6,6.8,2.3,0.9,0.3,0.4,0.1,5.4,47,6.72
Dijon18,0.2,0.1,0.2,0.1,0,0.5,0.9,411,34.5,34.7,286.6,55.2,3.7,11.3,2,2,9.7,3.5,8.4,1.8,6.6,2.2,0.5,0.5,0.4,0.2,5.3,48,6.71
Amiens18,0.1,0,0.1,0,0,0.4,0.6,369.1,26.3,38.7,245.4,58.8,3.2,12.4,1.7,2,8.4,4.4,7,1.4,5.6,1.9,0.6,0.3,0.4,0.1,4.4,45,6.71
Toulouse18,0.3,0,0,0,0,0.3,0.6,362.1,29.4,34.3,239.6,58.7,5,16.6,1.7,2.9,9.8,5.2,8,1.6,6.4,2.7,0.8,0.2,0.5,0.1,4.7,37,6.68
Lille18,0.3,0.1,0.1,0,0,0.4,0.8,482.7,26.8,26.2,373.7,56.1,3.7,12.5,2.1,2.4,9.9,2.1,9,1.3,7.7,1.8,0.7,0.4,0.4,0.1,6.6,38,6.66
Caen18,0.3,0.1,0.1,0,0,0.2,0.5,372.3,35.1,34.1,244.2,58.9,5.4,20.2,2.1,3.3,6.7,4.3,8.8,2.3,6.5,3.3,1.2,0.3,0.5,0.1,5.1,38,6.65
Strasbourg18,0.3,0.1,0,0,0,0.3,0.7,395.6,34,35.5,273.5,52.6,4.7,15.7,1.6,3.2,7.9,3.3,8.3,1.7,6.7,2.6,0.8,0.2,0.6,0.2,5.2,38,6.65
Angers18,0.3,0.1,0.1,0.1,0,0.4,0.8,398.4,25.3,32.3,281.8,58.9,3.6,13.6,1.8,2.7,7.4,4.1,9.1,1.4,7.7,2.1,0.9,0.5,0.5,0.1,6.2,41,6.62
Metz18,0.3,0.1,0,0,0,0.4,0.7,397.2,39.9,37.2,265.1,55,4.8,13.4,2,2.6,8.3,4.2,8.7,1.8,6.9,2.9,1,0.2,0.3,0.1,5.4,26,6.59
Troyes18,0.2,0.1,0,0,0,0.3,0.6,381.3,29.7,35.3,258.1,58.2,3.8,14.3,2.1,2.2,7.7,4.6,7.1,1.3,5.8,2.1,0.7,0.3,0.2,0,4.7,33,6.59
Monaco17,0.6,0.1,0.1,0.1,0,1,1.7,443.3,30.8,29.7,328.8,54,5.8,18.9,3.3,2.7,9.5,2.9,10.8,1.8,8.9,3.2,1.2,0.4,0.3,0,6.9,95,7.14
PSG17,0.4,0.1,0.2,0,0,0.8,1.4,662.3,34,14.8,555.1,58.4,5.7,18.1,3.7,3.3,9.2,1.1,11.8,2,9.8,3.5,1.6,0.8,0.3,0,7.2,87,7.09
Lyon17,0.2,0.1,0.2,0,0,0.8,1.2,526,27.8,24.6,414.6,59,4.6,13.1,3.4,3.3,10.6,2.4,11.5,2,9.5,2.9,1.8,0.8,0.4,0,7.5,64,6.96
Marseille17,0.4,0.1,0.2,0.1,0,0.5,1.1,488.2,30.5,26,380.7,51,4.3,13.9,2.4,2.7,8.9,2.2,9.3,1.2,8.2,2.5,0.9,0.5,0.4,0.1,6.1,62,6.91
Nice17,0.2,0.1,0.3,0.1,0,0.8,1.3,600.1,29.7,19.7,497.4,53.3,2.2,8.6,1,2,12.8,2.2,9,1.3,7.7,1.2,0.4,0.7,0.4,0.1,6.8,78,6.90
Bordeaux17,0.3,0.1,0.1,0.1,0,0.6,1,428.3,26.8,32.6,311.1,57.9,4,14,1.8,2.4,8.5,3.5,9.1,1.6,7.4,2.4,0.8,0.1,0.3,0.1,6.2,59,6.81
Saint-Etienne17,0.3,0.1,0.1,0.1,0,0.4,0.8,424.2,29.6,33.1,304.2,57.3,4.9,15.1,1.7,3.1,7.6,3.9,8.1,1.6,6.6,2.6,1,0.2,0.6,0.1,5.2,50,6.80
Dijon17,0.3,0,0.1,0,0,0.5,0.8,405.8,30.2,37.3,283.9,54.4,4.6,13.6,2.3,2.2,8.1,4.1,8.9,1.7,7.2,2.6,0.9,0.2,0.4,0.1,5.8,37,6.77
Montpellier17,0.3,0.1,0,0.1,0,0.6,0.9,444.1,37.1,30.1,317,59.8,5.2,16.3,2.5,2.6,10.2,2.8,10.5,2,8.5,3.2,1.3,0.3,0.6,0.1,6.6,39,6.77
Guingamp17,0.4,0,0.1,0,0,0.4,0.9,405.8,33.2,32.4,284.3,55.8,5.1,14.2,2.2,3,9.9,3.3,9.1,1.8,7.3,3.1,1.1,0.3,0.3,0.1,5.4,50,6.77
Rennes17,0.2,0.1,0.1,0,0,0.3,0.7,480.2,29.3,35.9,349.5,65.5,4.3,13.4,1.7,2.5,8.1,4.1,8.6,1.5,7.1,2.4,0.8,0.5,0.4,0.1,5.4,50,6.77
Lille17,0.1,0,0.1,0,0,0.3,0.6,437.1,27.2,30.5,326.2,53.2,4.1,13.7,1.6,2.7,10.3,3.3,9.2,1.5,7.7,2.2,0.6,0.2,0.6,0.1,6.4,46,6.75
Toulouse17,0.2,0.1,0.1,0.1,0,0.3,0.6,365.7,26.3,40.9,236.4,62.1,3.9,12.8,1.8,2.2,8.2,5.9,7.2,1.6,5.6,1.9,0.9,0.2,0.7,0.1,4.6,44,6.73
Angers17,0.3,0.1,0.1,0,0,0.4,0.8,417.5,30,31.6,294,61.9,4.4,14.8,1.6,3.5,7.5,3.7,10.3,1.8,8.6,2.6,0.8,0.4,0.6,0,6.9,46,6.71
Caen17,0.3,0,0,0.1,0,0.3,0.7,394.2,33.4,35.9,264.3,60.7,6,19.4,1.5,2.9,6.7,4.8,8.6,1.9,6.7,3.4,0.8,0.2,0.5,0.1,4.7,37,6.71
Nantes17,0.2,0,0,0,0,0.5,0.7,408.8,24.5,36,286.5,61.8,5.1,16.5,2,3,6.8,3.8,8.9,1.7,7.2,2.7,0.8,0.1,0.3,0.1,5.8,51,6.68
Nancy17,0.2,0.1,0.1,0,0,0.3,0.6,359.7,28.6,42,233.9,55.3,3.6,14.2,1.6,2.8,6.9,5,6.8,1.3,5.5,2,0.8,0.3,0.5,0,4.3,35,6.66
Metz17,0.3,0.1,0,0.1,0,0.3,0.6,353.3,31.6,36,234.6,51.2,4.3,14.1,1.9,1.6,6.3,3.7,7.2,1.4,5.7,2.2,0.8,0.2,0.6,0.1,4.5,43,6.66
Lorient17,0.4,0.1,0,0,0,0.4,0.8,457.4,29.4,34.2,342.2,51.6,4.6,15.5,1.7,3.2,8.1,3,8.3,1.8,6.6,2.4,0.8,0.2,0.3,0,5.5,36,6.63
SC Bastia17,0.2,0,0.1,0,0,0.3,0.5,360.7,29.9,43.5,235.1,52.3,3.3,12.1,1.4,3.1,8.9,6.3,7.2,1.5,5.8,1.8,0.7,0.2,0.3,0,5.1,34,6.62
PSG16,0.5,0.1,0.4,0.1,0,1.1,1.9,718.4,28.2,17.9,614.4,57.9,4.6,14.6,2.3,3.1,10.4,0.8,11.6,1.9,9.7,3.3,1.4,1.4,0.3,0.1,6.7,96,7.27
Lyon16,0.2,0.1,0.2,0.1,0,0.7,1.2,562.7,33.2,26.3,437.4,65.7,3.9,13.2,2.2,2.5,11.8,3.3,11.3,1.8,9.5,2.7,1.2,0.8,0.5,0,7.6,65,6.96
Nice16,0.3,0,0.1,0,0,0.7,1.1,564.2,28.8,28.6,448.6,58.2,3.5,13.9,2.2,2.3,9.9,2.7,7.7,1,6.7,1.6,0.3,0.4,0.3,0.1,5.5,63,6.90
Lille16,0.1,0,0.1,0,0,0.4,0.6,420.6,24.1,34,302.7,59.8,4.8,16,2.3,2.9,10,4.3,9.1,1.7,7.4,2.7,1.1,0.4,0.6,0,5.7,60,6.90
Bordeaux16,0.3,0.1,0.1,0.1,0,0.5,0.9,440.8,31.3,35.2,318.5,55.8,4.7,16.6,1.9,3,9.9,3.8,8.4,1.4,7,2.4,1,0.3,0.5,0.2,5.2,50,6.85
Monaco16,0.3,0.1,0.1,0.1,0,0.5,0.9,411.1,27.3,30.1,295.9,57.7,4.9,18.1,2.4,3,9.7,3.5,8.2,1.6,6.6,3,1,0.2,0.5,0.1,4.7,65,6.85
Marseille16,0.2,0.1,0,0,0,0.6,0.9,489.5,24.6,31.5,379.3,54,5.8,19.5,2.7,3.2,11.1,3.2,9.6,1.6,8.1,2.7,0.9,0.3,0.3,0,6.4,48,6.84
Montpellier16,0.4,0.1,0.1,0,0,0.4,0.9,440.3,35.7,35.4,308.1,61.1,4.8,15.2,2,2.9,10,4.6,8.4,1.7,6.7,2.6,0.9,0.4,0.8,0.1,4.9,49,6.84
Rennes16,0.2,0,0.1,0.1,0,0.7,0.9,459.6,30.7,33.2,335.1,60.7,3.5,13.3,2.3,2.4,8.8,2.7,8.4,1.5,6.9,2.2,0.9,0.2,0.3,0.1,5.8,52,6.80
Caen16,0.3,0,0,0.1,0,0.3,0.7,336.7,30.7,33.8,206.2,66.1,4.8,18.9,1.5,3.6,6.1,5.4,8.8,1.8,7,2.2,0.6,0.2,0.5,0.1,5.9,54,6.78
Guingamp16,0.4,0.1,0.1,0,0,0.5,1,344.6,28.8,36.1,225.3,54.4,4.8,14.3,2.3,2.4,9.1,4.4,7.4,1.9,5.4,2.7,1.1,0.3,0.4,0.1,4.1,44,6.77
Toulouse16,0.2,0,0.1,0,0,0.5,0.7,396.1,19.3,38.8,276.1,61.9,4.9,14.6,1.6,2.9,8.8,5.2,8.2,1.4,6.7,2.4,0.6,0.3,0.6,0.1,5.1,40,6.76
Nantes16,0.2,0,0,0,0,0.4,0.7,423.2,35.1,35,290.6,62.4,5.9,17.4,2.2,2.4,7.1,3.6,8.6,1.5,7.1,2.9,0.6,0.3,0.4,0,5.2,48,6.76
Lorient16,0.3,0.1,0.1,0.1,0,0.4,0.8,455.2,32.7,35.1,331,56.4,3.7,13.6,1.7,2.8,9.8,3.7,8.3,1.9,6.4,1.9,0.9,0.3,0.2,0,5.9,46,6.75
Saint-Etienne16,0.2,0.1,0.1,0.1,0,0.3,0.7,426.9,28.4,38.9,299.1,60.5,4.7,16.2,1.8,3.7,7.4,4,8.4,1.8,6.6,2.4,0.9,0.3,0.3,0.1,5.4,58,6.75
Angers16,0.2,0.1,0,0.1,0,0.3,0.6,380.2,26.6,34.9,260.2,58.5,3.9,12.1,1.2,2.3,7.6,4.7,7.5,1.3,6.2,2.3,0.6,0.1,0.8,0.1,4.6,50,6.74
SC Bastia16,0.2,0,0.1,0,0,0.3,0.6,367.5,30.9,42.6,236.9,57.1,3.3,13.8,1,2.4,8.4,5.7,6.4,1.4,5,1.8,0.4,0.3,0.5,0.1,4.1,50,6.72
Reims16,0.3,0.1,0,0.1,0,0.4,0.8,407.2,29.7,35.4,281,61.1,4.7,14.7,1.3,3.3,8.7,4.8,8.5,1.8,6.7,2.8,0.5,0.4,0.7,0,5,39,6.71
GFC Ajaccio16,0.3,0.1,0,0,0,0.3,0.7,403.7,36.3,42.6,260.9,63.9,5.2,15.2,1.7,2.3,7.7,4.6,9,1.6,7.4,2.4,0.6,0.1,0.5,0.1,6.2,37,6.67
Troyes16,0.2,0,0,0,0,0.3,0.5,430.4,33.2,37.2,303.7,56.3,3.7,14.9,2.1,3.3,9.5,2.7,9,1.6,7.4,1.8,0.8,0.3,0.5,0.1,6.5,18,6.58
PSG15,0.4,0.1,0.3,0.1,0,0.7,1.4,626.6,29.7,20.7,521.8,54.5,4.3,13.9,1.9,2.6,11.8,1.6,9.4,1.4,8,2.3,0.7,1,0.3,0.1,5.9,83,7.09
Marseille15,0.5,0.1,0.1,0.1,0,0.5,1.1,429.2,35,23.4,324.6,46.1,5.9,19.8,1.8,3.7,12.2,1.7,11.3,2.3,9,3.6,1.1,0.4,0.6,0.1,7,69,7.03
Lyon15,0.3,0.1,0.2,0.1,0,0.9,1.4,505.4,33.7,27.2,388.2,56.4,3.3,12.2,1.5,3.1,10.7,2.7,9.6,1.5,8.1,1.9,0.8,0.7,0.4,0,6.8,75,6.98
Monaco15,0.3,0,0.2,0.1,0,0.5,0.9,452.2,28.2,32.2,332.8,59,5.4,15.6,2.4,3.2,10.6,3.4,9.1,1.8,7.3,2.8,1.1,0.4,0.3,0.1,5.6,71,6.97
Saint-Etienne15,0.2,0.1,0.1,0,0,0.6,0.9,414.7,30.1,35.4,292.3,56.9,5,17.1,2,3.4,8.3,3.7,8.5,1.4,7.1,2.6,0.9,0.2,0.4,0.1,5.4,69,6.90
Montpellier15,0.2,0.1,0.1,0,0,0.6,0.8,379.4,28.8,42.8,246.5,61.3,4.2,14.9,1.6,3,8.2,7.2,7.2,1.4,5.8,2.2,0.8,0.4,0.4,0.1,4.3,56,6.90
Caen15,0.3,0.1,0.2,0,0,0.4,0.9,347.4,28.2,38.7,220.7,59.8,5.3,19.9,1.8,3.3,5.2,4.4,8.6,1.7,6.9,2.9,1.1,0.4,0.3,0.2,5.1,46,6.87
Lille15,0.2,0,0.1,0,0,0.5,0.7,454.4,28.3,30.7,336.9,58.6,4.3,15.3,1.5,2.8,12.2,3.8,9.1,1.3,7.8,2.2,0.7,0.2,0.5,0,6.6,56,6.83
Lorient15,0.2,0.1,0.1,0,0,0.4,0.7,451.6,35.7,37.8,319.6,58.6,4.4,15.8,1.9,3.1,8.2,4.7,9.6,2,7.6,2.5,0.9,0.4,0.4,0,6.4,43,6.81
Bordeaux15,0.3,0,0.1,0,0,0.6,0.9,448.4,36.3,33.3,326,52.8,5,16.6,1.6,3.4,10.4,4.4,9.5,1.7,7.8,2.6,0.6,0.1,0.5,0.1,6.4,63,6.80
Nantes15,0.2,0.1,0.1,0,0,0.2,0.4,390.5,28.7,36.4,266.5,58.9,4.7,15.6,1.5,2.9,6.1,3.9,8.5,1.7,6.8,2.6,0.7,0.4,0.4,0.1,5.2,45,6.79
Nice15,0.2,0.1,0.1,0.1,0,0.4,0.8,391.1,28.1,35.1,270.1,57.8,4.5,18.2,1.2,3.8,9.1,4.6,7.9,1.1,6.8,2,0.6,0.2,0.4,0.1,5.4,48,6.79
Rennes15,0.3,0.1,0,0.1,0,0.4,0.7,442.6,34.4,34.6,317.3,56.3,3.7,12.7,1.6,2.3,8.4,3.2,7.4,1.5,5.9,2.2,0.4,0.2,0.4,0,5,50,6.75
SC Bastia15,0.2,0.1,0,0,0,0.3,0.5,369,32.2,40.8,238.2,57.9,3.4,14.9,1,2.5,7.8,5.1,5.9,1.4,4.4,1.7,0.4,0.1,0.3,0.1,3.8,47,6.74
Toulouse15,0.2,0,0.1,0.1,0,0.5,0.8,398.9,26.5,42.4,264.3,65.7,5.3,14.6,1.8,3.3,8.8,5.7,7.9,2,5.9,2.7,0.8,0.4,0.5,0.1,4.5,42,6.74
Guingamp15,0.3,0.1,0.1,0,0,0.2,0.7,336.4,23.6,41.7,214.9,56.2,4.4,16.9,1.4,2.6,8.8,5.3,6.7,1.7,5,2.5,0.6,0.3,0.5,0.1,3.6,49,6.71
Reims15,0.4,0.1,0,0.1,0,0.4,0.8,400.6,27.4,35.4,280.2,57.6,4.5,14.3,1.8,2.9,10.5,3.8,8.4,1.6,6.7,2.8,0.9,0.3,0.6,0.1,4.8,44,6.71
