,Assists_Cross,Assists_Corner,Assists_Throughball,Assists_Freekick,Assists_Throwin,Assists_Other,Assists_Total,PassesLength_Total,PassesLength_AccLB,PassesLength_InAccLB,PassesLength_AccSP,PassesLength_InAccSP,PassesType_AccCr,PassesType_InAccCr,PassesType_AccCrn,PassesType_InAccCrn,PassesType_AccFrK,PassesType_InAccFrK,KeyPassesLength_Total,KeyPassesLength_Long,KeyPassesLength_Short,KeyPassesType_Cross,KeyPassesType_Corner,KeyPassesType_Throughball,KeyPassesType_Freekick,KeyPassesType_Throwin,KeyPassesType_Other,Pts,Rating
Metz15,0.2,0,0,0,0,0.3,0.5,356.1,31.1,45.2,220.1,59.7,4.1,13.6,1.7,2.3,7.2,5.5,8.3,1.6,6.7,2.1,0.8,0.1,0.3,0.1,5.8,30,6.70
Lens15,0.2,0,0,0,0,0.3,0.5,376.9,26.2,38.8,247.3,64.6,4.4,15.5,1.3,2.7,7,4.2,7.7,1.8,6,2.5,0.7,0.3,0.5,0.1,4.6,29,6.67
Thonon Evian15,0.3,0,0.1,0.1,0,0.3,0.7,357.7,29,44.7,225.8,58.2,4,15.1,1.3,2.7,7.7,4.9,6.2,1.1,5,2,0.4,0.2,0.4,0,3.8,37,6.67
PSG14,0.4,0.1,0.3,0.1,0,0.5,1.2,609.3,41.3,13.9,499.7,54.5,5.5,15.6,2.5,3.2,0,0,11.6,2.5,9.1,3.6,1.2,0.6,0.4,0,7.3,89,7.10
Monaco14,0.4,0.1,0.2,0,0,0.7,1.2,468.9,27.4,19.1,359.9,62.5,5.6,18.4,2.5,3.1,0,0,10.4,2,8.3,2.8,0.9,0.6,0.6,0.1,6.7,80,7.01
Lille14,0.3,0.1,0.1,0,0,0.4,0.8,431.7,29.5,23.4,314.3,64.4,5.4,17.1,2,3.1,0,0,10.5,2.4,8.1,3.4,1.2,0.3,0.6,0,6.7,71,6.96
Saint-Etienne14,0.3,0.1,0.1,0.1,0,0.4,0.8,383.9,30,22.7,271.2,60,5.3,17.9,1.5,2.9,0,0,9.5,3,6.5,3.2,1,0.2,0.5,0.2,5.7,69,6.95
Marseille14,0.4,0,0.1,0.1,0,0.4,0.9,400.3,32.7,21.3,294.2,52.2,5.7,19.1,1.7,3.5,0.1,0,10.3,3.2,7.1,3.5,0.9,0.4,0.5,0,6.2,60,6.91
Bordeaux14,0.4,0.1,0.1,0.1,0,0.3,0.9,410.6,39,25.3,285.1,61.1,5.4,19.5,1.4,3.3,0,0,8.9,2.4,6.6,2.7,0.7,0.1,0.5,0.1,5.6,53,6.90
Lyon14,0.3,0.1,0,0,0,0.7,1,419.5,33.2,20.2,309.2,57,4.4,16.2,1.6,3.6,0,0,8.9,1.6,7.3,2.3,0.6,0.2,0.2,0.1,6.2,61,6.87
Reims14,0.2,0.1,0.1,0,0,0.4,0.7,377.2,28,25,257.4,66.8,4.6,14.2,1.6,2.3,0,0,8.4,2.7,5.7,2.4,0.9,0.3,0.4,0.1,5.2,48,6.84
Toulouse14,0.4,0.1,0.1,0.1,0,0.4,0.8,452.5,25.2,19.3,337.7,70.4,5.9,17.8,2,2.5,0,0,9.1,2.3,6.8,2.6,0.8,0.3,0.5,0,5.9,49,6.84
Rennes14,0.3,0,0.1,0,0,0.4,0.7,404.1,25.1,22.2,294.8,62,2.7,14.8,1.5,2.5,0,0,7.4,1.4,6,1.4,0.3,0.2,0.2,0.1,5.4,46,6.81
Nantes14,0.4,0.1,0.1,0.1,0,0.3,0.7,355.8,23.6,25.4,244.6,62.2,4.6,16.5,1.6,2.9,0,0,8.2,2.6,5.7,2.8,0.9,0.4,0.3,0.1,4.8,46,6.81
Montpellier14,0.2,0,0.1,0.1,0,0.4,0.7,361.4,26.3,28.4,245.9,60.8,4.2,14.6,1.9,2.6,0.1,0.2,8.5,2.1,6.4,2.2,0.9,0.3,0.4,0,5.8,42,6.81
Lorient14,0.3,0.1,0,0.1,0,0.6,0.9,397.7,32.8,23.1,276.1,65.7,3.2,15.2,1.4,3.3,0.2,0,8.4,2,6.4,1.6,0.7,0.2,0.4,0.1,6.2,49,6.75
Thonon Evian14,0.2,0.1,0.1,0.1,0,0.2,0.6,354.2,31.7,31.3,229.2,62.1,3.8,13.1,1.6,2,0,0,7.4,1.9,5.5,2,0.7,0.3,0.3,0,4.9,44,6.75
Guingamp14,0.4,0.1,0,0,0,0.2,0.6,337.4,21.3,24.9,224.6,66.6,5.4,21.7,1.6,3.4,0.3,0.1,8.5,2.3,6.2,3.3,0.9,0.2,0.3,0,4.9,42,6.74
Nice14,0.2,0.1,0.1,0,0,0.2,0.4,422.2,30.9,20.4,306.9,63.9,4.3,18.5,1.1,3.3,0,0,6.4,2,4.5,2.1,0.5,0.2,0.4,0.1,4,42,6.73
Sochaux14,0.3,0.1,0.1,0.1,0,0.3,0.7,329.9,23.1,28.7,212.2,65.9,5.1,18.9,1.9,2.7,0,0,8.3,2.1,6.2,3.1,0.9,0.2,0.3,0,4.9,40,6.70
Valenciennes14,0.3,0.1,0.1,0,0,0.2,0.6,332.3,28,24.8,226.3,53.2,4.8,19.2,2,3.8,0.4,0.1,7.9,2.1,5.8,2.3,1,0.3,0.3,0.1,5,29,6.68
SC Bastia14,0.3,0.1,0.1,0,0,0.4,0.8,366.6,32.2,23.9,248.3,62.2,3.9,14.4,1.4,2.8,0,0,7.7,1.8,5.9,2.2,0.7,0.3,0.3,0.1,4.9,49,6.67
AC Ajaccio14,0.3,0,0.1,0.2,0,0.4,0.8,318.8,24.8,24.1,211.7,58.1,2.8,13,0.6,2.3,0.3,0.1,6.2,1.6,4.6,1.6,0.3,0.2,0.6,0.1,4.2,23,6.62
PSG13,0.5,0.1,0.2,0,0,0.6,1.3,516.4,33.2,13.8,407.8,61.7,5,13.7,2.6,2.6,0,0,10,2,7.9,2.7,1.1,0.9,0.4,0,6.1,83,7.07
Saint-Etienne13,0.4,0.1,0.2,0.1,0,0.6,1.2,435.9,33.7,21.4,315.5,65.2,5.3,20.2,2,4.2,0.2,0,9.7,2.4,7.3,3,1,0.6,0.3,0.1,5.9,63,6.92
Marseille13,0.3,0.1,0.1,0,0,0.4,0.8,407.3,29.1,22.8,300.3,55.1,6.1,20.1,2.3,4,0,0,10.4,2.7,7.7,3.4,1.1,0.5,0.4,0.1,6.2,71,6.89
Lyon13,0.3,0.1,0.1,0.1,0,0.4,0.9,458.1,30.9,20.7,340.8,65.7,4.2,16.2,1.6,3.5,0,0,8.8,1.9,6.9,2.4,0.9,0.8,0.4,0.1,5.4,67,6.88
Montpellier13,0.2,0,0.2,0,0,0.4,0.9,417.7,29.7,23.9,302.8,61.2,4.7,15.8,2.4,2.8,0.3,0,9.2,1.9,7.3,2.6,0.7,0.6,0.4,0.1,5.9,52,6.86
Lorient13,0.4,0.1,0,0.1,0,0.6,1,424,26.4,21.2,306.6,69.7,4.3,17.6,1.4,4.4,0.2,0.1,8.9,1.8,7.2,2.3,0.7,0.4,0.5,0.1,6,53,6.86
Toulouse13,0.2,0.1,0.2,0.1,0,0.4,0.9,410.7,28.1,21.1,299.8,61.6,5.4,18.3,2.3,3.3,0,0,8.6,2.6,6,2.7,0.9,0.6,0.4,0.2,5.1,51,6.85
Bordeaux13,0.3,0.1,0.1,0,0,0.3,0.8,415,32.9,26.1,289.6,66.4,5.2,20.3,1.6,3.6,0,0,9.8,2.2,7.6,3,0.9,0.3,0.4,0.2,6.2,55,6.85
Sochaux13,0.4,0.1,0.1,0.1,0,0.2,0.7,343.2,24.7,24.6,235.9,57.9,3.7,13.7,1.4,2.8,0.2,0.1,6.9,2,4.9,2.4,0.8,0.3,0.5,0.1,3.8,41,6.83
Nancy13,0.3,0.2,0.1,0.1,0,0.3,0.7,377.1,27.6,23.9,261.6,64,5.2,16.1,1.9,3,0,0,9.9,2.7,7.2,2.7,1.1,0.3,0.8,0.1,6.5,38,6.82
Lille13,0.4,0.1,0.2,0.1,0,0.5,1.1,500.9,36.4,18.5,379.5,66.6,5.2,17.8,1.9,3.4,0.4,0,10.5,2.5,8,3.1,1,0.8,0.6,0.2,6.3,62,6.82
Rennes13,0.3,0.1,0.1,0.1,0,0.3,0.8,359.7,28.7,24.2,250.3,56.5,3.9,13.9,1.9,2.5,0,0,9,2.2,6.8,2.1,0.6,0.5,0.5,0,6,46,6.79
Valenciennes13,0.3,0.1,0,0,0,0.6,0.8,333.3,21.4,24.8,226.7,60.4,5,18.7,1.5,3.4,0.4,0.1,8,2.1,5.9,2.5,0.9,0.1,0.3,0,5.3,48,6.76
Nice13,0.2,0,0,0.1,0,0.4,0.8,414.1,26.9,23.3,298.1,65.8,5.3,15.4,1.9,2.4,0,0,7.5,2.6,4.9,2.6,0.9,0.3,0.5,0.1,4.2,64,6.76
Troyes13,0.3,0.1,0.1,0,0,0.3,0.7,357.5,22.4,23,248.4,63.7,4,13.3,1.5,2.3,0,0,7.6,1.8,5.8,2.4,0.7,0.2,0.4,0.1,4.7,37,6.73
Reims13,0.2,0,0.1,0,0,0.2,0.5,356.7,27.2,24.1,239.4,66,4.8,18.3,1.5,3.3,0,0,7.1,2.5,4.6,2.5,0.8,0.3,0.4,0.1,4,43,6.72
AC Ajaccio13,0.2,0,0,0,0,0.3,0.5,362.5,23.2,24.6,252.6,62.2,3.4,14.1,1.2,3.3,0,0,7.3,1.8,5.5,1.7,0.6,0.4,0.5,0.1,4.8,40,6.70
Thonon Evian13,0.2,0,0.3,0,0,0.3,0.8,343.3,30.1,32.4,224.7,56.1,4.2,14.2,1.9,2.7,0,0,8.7,2.6,6.1,2.2,0.9,0.6,0.6,0.1,5.5,40,6.69
Brest13,0.1,0,0.1,0,0,0.2,0.5,353,25.8,23.3,245.4,58.6,2.9,14.2,1.2,2.7,0,0,8.2,2.1,6.1,1.6,0.5,0.3,0.4,0.2,5.9,29,6.68
SC Bastia13,0.5,0.1,0.1,0.1,0,0.2,0.8,308.6,24.7,24.4,200.6,58.8,4.2,14.4,1.8,2.8,0,0,7.5,2.3,5.2,2.7,0.9,0.7,0.6,0.1,3.5,47,6.67
Montpellier12,0.3,0,0.2,0.1,0,0.5,1,399,29.9,18.8,292.7,57.6,5.3,18.2,2.1,3.3,0.2,0.1,11,2.2,8.7,2.7,0.8,0.6,0.7,0.1,7.2,82,6.99
PSG12,0.4,0.1,0.3,0.1,0,0.7,1.5,469.5,29.6,17.4,349.7,72.9,3.9,14.1,2,3,0,0,11,2.3,8.7,2.6,1,1.7,1,0.1,5.9,79,6.95
Lille12,0.4,0.2,0.1,0.1,0,0.6,1.2,496.3,31.3,18.2,381.2,65.6,4.7,17,2.8,2.7,0,0,10.5,2.3,8.2,2.6,1,0.7,0.7,0.1,6.8,74,6.92
Toulouse12,0.3,0.1,0,0,0,0.3,0.6,418.5,25.9,24.3,295.5,72.7,5.5,16,2.4,2.8,0,0,8.7,2.3,6.4,2.5,1,0.4,0.7,0.1,4.9,56,6.91
Marseille12,0.4,0.1,0.1,0.1,0,0.4,0.9,439.6,26.5,22.6,322.4,68.1,6.3,21.7,2.3,3.3,0,0,11.4,2.7,8.7,3.7,1.3,0.5,0.6,0.2,6.9,48,6.88
Rennes12,0.2,0,0.2,0.1,0,0.6,0.9,428.7,29.8,23.1,311.8,64,4.2,14.2,2.1,2.3,0,0,11.1,2.2,8.8,2.6,0.9,0.9,0.7,0.1,7.1,60,6.87
Bordeaux12,0.3,0.1,0,0,0,0.5,0.8,404.7,28.9,23,283.9,68.8,4.7,19.7,1.4,3.4,0,0,8.7,1.9,6.7,2.4,0.6,0.2,0.6,0.1,5.6,61,6.82
Saint-Etienne12,0.3,0.1,0.1,0,0,0.5,0.9,385.6,30.5,22.4,270.2,62.5,5.4,22.1,1.8,4.7,0,0,9.3,2.6,6.7,2.8,0.7,0.7,0.3,0.1,5.5,57,6.81
Lyon12,0.6,0.1,0.1,0.1,0,0.3,1.1,443.1,37.5,22,315.6,67.9,4.6,16.2,1.5,3.8,0,0,9.9,2.2,7.7,2.7,0.6,0.6,0.6,0.1,6.1,64,6.77
Brest12,0.1,0,0.1,0,0,0.3,0.4,347.7,26.6,20,232.9,68.2,3.6,13.9,1.1,2.8,0,0,8.2,1.5,6.7,1.6,0.3,0.6,0.9,0.2,5.4,41,6.77
Nancy12,0.3,0.1,0.1,0.1,0,0.4,0.7,354.6,19.9,24.7,240.5,69.5,3.8,13.2,0.8,2.4,0,0,8.7,1.5,7.3,1.7,0.6,0.5,0.9,0,5.9,45,6.76
Lorient12,0.2,0.1,0.1,0.1,0,0.3,0.7,426.9,28.1,20.1,314.6,64.2,3.7,14.4,1.9,3.9,0,0,8.6,1.5,7.1,1.7,0.8,0.3,0.6,0,6.1,39,6.76
Nice12,0.3,0.1,0,0.1,0,0.3,0.6,357.5,30.2,24.4,240.5,62.3,5.9,16.7,2.4,3.5,0,0,9.2,2.9,6.3,2.8,1.2,0.2,0.8,0.2,5.5,42,6.75
Auxerre12,0.3,0.1,0,0,0,0.4,0.8,339.8,23.5,26.1,224.8,65.4,4.5,15.6,1.3,3.4,0.3,0.2,8.1,2.2,5.9,2.5,0.8,0.6,0.4,0.1,4.8,34,6.73
Thonon Evian12,0.3,0.1,0.2,0,0,0.3,0.9,380,29.8,33.4,253,63.8,3.6,13.5,1.8,2.4,0,0,7.5,2,5.5,1.9,0.8,0.5,0.7,0.2,4.5,50,6.70
Caen12,0.2,0.1,0.1,0,0,0.3,0.6,342.1,25,26.1,220.4,70.6,4.4,17.9,1.3,3.2,0,0,7.8,1.9,5.9,2,0.5,0.7,0.3,0.1,4.9,38,6.69
Sochaux12,0.3,0,0.1,0.1,0,0.2,0.6,356.8,30.3,26.3,243.2,57,4.6,17.6,1.5,3.3,0,0,7.3,2,5.3,2.3,0.6,0.3,0.8,0.1,4.2,42,6.69
Valenciennes12,0.1,0,0.1,0,0,0.2,0.5,367,28.3,27.6,244.3,66.7,6.2,22.7,1.8,3.9,0,0,9,2.6,6.4,3,1,0.7,0.6,0.1,4.9,43,6.67
Dijon12,0.3,0.1,0,0.1,0,0.2,0.6,284.9,20.6,29.6,165.1,69.6,4,16.6,1.6,2.9,0,0,6.8,1.6,5.2,1.9,0.4,0.2,0.7,0.1,4.3,36,6.66
AC Ajaccio12,0.3,0.1,0,0.1,0,0.3,0.7,356.9,22.1,27,237.6,70.3,3.6,14.4,1.3,2.9,0.2,0.3,6.6,1.8,4.8,2,0.7,0.2,0.5,0.1,4.1,41,6.64
Lille11,0.3,0,0.2,0,0,0.7,1.2,477.9,38.3,24.6,343,72,4.8,15.4,2.8,2.7,10.6,3.2,10.8,1.9,8.8,2.4,0.6,0.4,0.5,0.1,7.4,76,6.91
Marseille11,0.4,0.1,0.1,0,0,0.5,1.1,417,26.6,24.9,293.9,71.6,5.8,19.6,2.1,3.4,9.3,3.2,10.8,2.6,8.2,3.2,0.8,0.7,0.8,0.1,6.4,68,6.90
Sochaux11,0.6,0.2,0.1,0.1,0,0.4,1.2,390.4,37.9,25.8,267.3,59.5,5.1,16.9,1.3,3.4,8.9,2,8.8,2.1,6.7,2.5,0.4,0.2,0.8,0.1,5.5,58,6.88
Nancy11,0.3,0.1,0.1,0.1,0,0.3,0.7,377.9,32.7,28.4,243.5,73.3,4.9,14.7,2.1,2.8,7.2,5.4,9.9,2.3,7.7,2.3,0.8,0.6,0.8,0,6.4,48,6.88
Brest11,0.3,0.1,0,0.1,0,0.3,0.7,364.8,22,28.9,237.4,76.6,3.7,16.1,1.5,3.5,6.6,5.7,8.1,1.7,6.4,2.1,0.8,0.3,1,0.1,5,46,6.84
Caen11,0.3,0,0.1,0.1,0,0.4,0.9,352.4,32.6,30,225.8,63.9,5.3,18.9,1.5,3.2,8.8,3.9,7.9,2.1,5.9,2.2,0.7,0.6,0.4,0.1,4.9,46,6.84
PSG11,0.2,0,0.2,0.1,0,0.5,0.9,396.2,26.9,24.2,275,70.1,6.3,20.4,2.5,4,9.1,3.3,10.7,3.1,7.6,3.7,1.3,0.5,0.7,0.1,5.9,60,6.83
Lorient11,0.3,0,0.2,0,0,0.4,0.9,487.7,31.8,25.7,359.2,71.1,4.1,19.2,1.8,3.4,11.3,2.6,9.2,2.1,7.1,2,0.5,0.6,0.4,0.1,6.3,49,6.83
Rennes11,0.2,0.1,0.1,0.1,0,0.4,0.7,421,28.9,27.6,298,66.5,3.6,13.5,1.5,2.2,8.3,3,8.3,1.5,6.8,1.7,0.5,0.5,0.9,0,5.6,56,6.82
Bordeaux11,0.4,0.2,0,0.1,0,0.2,0.7,407.7,32.1,26.2,279.7,69.7,5.4,18.9,1.9,3.6,10.7,3.2,10.2,2.8,7.4,3.5,1.1,0.2,0.9,0.1,6,51,6.82
Lyon11,0.4,0.1,0.1,0,0,0.5,1.1,445.3,31.2,27.7,310.9,75.5,5.7,18.4,1.9,3.7,8.8,3.5,10.2,2.4,7.7,2.9,0.9,0.4,0.5,0.1,6.6,64,6.81
Valenciennes11,0.5,0.1,0.1,0,0,0.3,1,392.9,33.1,33.8,258.2,67.8,5.8,18.3,1.8,2.3,6.3,5.4,8.2,1.9,6.2,2.7,0.7,0.3,0.5,0.2,4.6,48,6.79
Toulouse11,0.2,0.1,0.2,0.1,0,0.2,0.6,400.7,26.2,29.2,270.9,74.4,4.6,15.6,1.4,2.6,7.9,3.8,7.5,1.8,5.7,2.2,0.5,0.3,0.7,0.1,4.7,50,6.79
Auxerre11,0.3,0,0.3,0.1,0,0.3,0.8,372,27.6,31.9,245.8,66.8,4.4,16,1.4,2.6,5.9,4.3,8.2,1.9,6.3,2.1,0.8,0.4,0.6,0,5.4,49,6.78
Lens11,0.3,0.1,0.1,0.1,0,0.1,0.6,345.3,33.2,28.4,218.3,65.3,5.7,19.1,2.2,2.3,8.6,3.6,8.5,2.3,6.2,2.6,0.8,0.4,0.7,0.2,4.9,35,6.76
Monaco11,0.2,0,0.1,0.1,0,0.3,0.5,352.6,25.9,30.7,228.1,67.9,4.5,17.7,1.3,2.7,7,3.9,8.1,1.9,6.2,2.1,0.5,0.4,0.8,0.1,5,44,6.75
Saint-Etienne11,0.2,0,0,0.1,0,0.4,0.6,392.7,33.2,29.1,267.4,63.1,4.3,16.8,1.6,3.2,7.9,3.4,9.8,2.4,7.4,2.8,0.9,0.7,0.7,0.2,5.7,49,6.75
Nice11,0.1,0,0.1,0.1,0,0.3,0.6,371.8,29.1,29.7,256.8,56.1,4.1,13.9,1.1,2.5,8.4,4.3,7.8,2,5.8,2.2,0.6,0.3,0.9,0.1,4.8,46,6.74
Montpellier11,0.2,0,0.1,0.1,0,0.3,0.6,400.4,28,26.2,277.1,69.2,5.1,15.6,1.3,2.7,8,4.7,9.1,2.1,6.9,2.6,0.7,0.3,0.7,0.1,5.9,47,6.74
Arles-Avignon11,0.2,0.1,0.1,0,0,0.2,0.5,365.3,24.7,30.4,235.2,75,3.9,15,1.2,2.9,6.6,4.5,7.3,1.7,5.6,2.1,0.6,0.4,0.4,0,4.7,20,6.63
Lyon10,0.3,0,0.2,0.1,0,0.6,1.2,431.7,30.8,26.1,303.4,71.4,6.4,21.4,2.3,3.9,8.1,3.4,10.7,2.7,8,3.2,1.1,0.7,0.5,0,6.5,72,7.06
Marseille10,0.5,0.3,0.1,0.1,0,0.7,1.3,412.2,29.2,24.1,292,66.9,6.4,17.6,2.3,2.9,11.2,3.6,11.9,2.5,9.4,3.8,1.1,0.5,1.3,0.2,6.8,78,7.02
Auxerre10,0.3,0.1,0.2,0.1,0,0.2,0.7,390.3,34.5,29.5,250.7,75.6,5.4,18.7,1.6,2.6,7.4,3.9,7.7,1.9,5.8,2.4,0.7,0.7,0.6,0.1,4.4,71,6.98
Bordeaux10,0.5,0.1,0.1,0.2,0,0.3,1,455.7,36.5,21.1,330.4,67.7,5.4,15.6,1.8,2.6,9.9,2.7,9.7,2.4,7.3,3.1,1.1,0.7,0.8,0.1,5.6,64,6.97
Lorient10,0.4,0.1,0.2,0,0,0.3,0.9,389.3,27.6,32.3,258.8,70.7,4.2,17.2,1.4,3.6,7.9,4.7,8.8,2,6.8,1.8,0.6,0.8,0.4,0.2,5.9,58,6.96
Lille10,0.3,0.1,0.3,0.1,0,0.5,1.1,408.7,32.2,24.2,279.2,73.1,4.4,20.5,2.6,4.2,8.8,3.3,10.1,2.4,7.6,2.6,1,0.8,0.9,0,6.2,70,6.96
Valenciennes,0.4,0.1,0.1,0.1,0,0.5,1,385.4,37.3,29.8,251.8,66.6,5.9,19.1,1.7,2.7,8.3,3.9,8.3,2.7,5.6,2.8,0.7,0.2,0.6,0,4.9,52,6.94
Monaco10,0.2,0.1,0.2,0,0,0.2,0.6,346.6,27.7,33.9,218.5,66.4,4.2,17.5,1.9,3.1,8.4,5.4,9,2.5,6.5,2.3,0.7,0.6,1.1,0.1,5.3,55,6.88
Saint-Etienne10,0.2,0.1,0.1,0.1,0,0.3,0.6,395,27.6,27.8,270.4,69.1,5,17.9,1.6,3.4,8.9,3.6,10.1,2.5,7.6,2.7,0.8,0.8,0.8,0,6.2,40,6.86
Rennes10,0.2,0.1,0.2,0.1,0,0.5,0.9,409.3,27.7,29.1,281.1,71.4,4.5,16.9,1.7,2.7,6.5,3.7,10.3,2.4,7.9,2.4,0.7,0.5,0.8,0.1,6.9,53,6.85
Toulouse10,0.2,0,0.1,0.1,0,0.3,0.6,381.1,26.7,27,259.8,67.7,4.1,16.7,1.5,3.4,7.3,3.8,9.3,2.5,6.8,2.5,0.8,0.3,0.7,0.2,6,47,6.85
Nancy10,0.3,0.1,0.2,0.1,0,0.5,0.9,341.6,29,33.6,209.5,69.4,3.7,15.2,1.4,3.1,6.4,5.3,8.7,2,6.7,2,0.7,0.5,0.6,0.2,5.7,48,6.83
Lens10,0.3,0,0,0.1,0,0.3,0.6,343.9,30.3,27.1,223.8,62.7,5.1,19.2,1.9,2.2,8.7,3.4,8.1,1.8,6.3,2.6,0.4,0.5,0.8,0.1,4.6,48,6.82
Montpellier10,0.3,0.1,0.1,0.1,0,0.3,0.8,388.2,23.3,30.2,264.8,69.8,3.2,14.3,1,3,7.6,5.6,8.2,1.7,6.4,1.8,0.5,0.6,0.9,0.2,5.1,69,6.81
Nice10,0.3,0,0.1,0.1,0,0.3,0.7,334.8,30.5,33.2,216.7,54.4,3.8,15.8,1.3,3.6,7.4,4.3,7.8,2.4,5.4,2,0.8,0.6,0.5,0.1,4.8,44,6.81
PSG10,0.3,0,0.1,0.1,0,0.4,0.9,395.1,29.2,26.9,269.9,69.1,4.9,19.7,1.4,3.7,7.2,3.7,9.7,2.1,7.6,2.5,0.8,0.7,0.9,0.1,5.7,47,6.80
Sochaux10,0.2,0,0,0.1,0,0.2,0.4,393.8,33.2,26.4,267.4,66.8,4.7,17.4,1.4,3.5,9.7,1.9,8.4,1.8,6.6,2.1,0.7,0.6,0.6,0,5.3,41,6.76
Boulogne10,0.2,0.1,0.2,0,0,0.2,0.6,349.9,27.8,31.3,217.7,73.1,4.6,14.3,1.3,2.3,6.8,4,6.7,1.7,4.9,1.9,0.6,0.6,0.4,0.1,3.9,31,6.69
Le Mans10,0.2,0,0.1,0.1,0,0.3,0.6,363.8,31.9,31.2,225.7,74.9,4.6,17.5,1.1,2.8,6.2,4.9,7.7,1.5,6.2,1.9,0.2,0.3,0.9,0.1,4.8,32,6.68
Grenoble10,0.2,0,0.1,0,0,0.2,0.4,367.4,29.5,34.1,234.1,69.7,4.7,18.2,1.5,2.7,8.1,5.7,8.3,2.1,6.2,2.3,0.5,0.2,0.5,0.1,5.3,23,6.66
